"","paste.tab....first....tab....last....sep.......","role","company","location","country"
"1","Mouna Akacha","member","Novartis","Basel","Switzerland"
"2","Tobias Mielke","member","J&J","","Germany"
"3","Kaspar Rufibach","member","Merck Healthcare KGaA","Meiringen","Switzerland"
"4","Nicky Best","member","GSK","","UK"
"5","Pierre Colin","member","BMS","Boudry","Switzerland"
"6","Rachid El-Galta","member","Sandoz","Holzkirchen","Germany"
"7","Philip Hougaard","member","Lundbeck","Valby","DK"
"8","Jurgen Hummel","member","Cytel","Edinburgh","UK"
"9","Klaus Kähler","member","Novo Nordisk","Søborg","Denmark"
"10","Mike Krams","member","Berry Consultants","Vienna","Austria"
"11","Baldur Magnusson","member","UCB","Basel","Switzerland"
"12","Alex Ocampo","member","Roche","Basel","Switzerland"
"13","Christian Stock","member","Boehringer Ingelheim","Ingelheim","Germany"
"14","Marc Vandemeulebroecke","member","Bayer","Basel","Switzerland"
"15","David Wright","member","AstraZeneca","Cambridge","UK"
